TC,Par,IC_total,R2_sup,R2_inf,Concord_HA_MC,IC_lit,IC_physics,HA_mm_d,MC_mm_d
TC1,sup→int,0.798,0.728,0.483,0.878,1.0,1.0,314.1,275.7
TC1,int→inf,0.568,0.483,0.103,0.506,1.0,1.0,381.9,193.1
TC1,sup→inf,0.59,0.728,0.103,0.351,1.0,1.0,345.9,984.7
TC2,sup→int,0.589,0.619,0.218,0.364,1.0,1.0,345.1,125.4
TC2,int→inf,0.468,0.218,0.022,0.437,1.0,1.0,315.9,138.0
TC2,sup→inf,0.59,0.619,0.022,0.525,1.0,1.0,330.0,628.3
TC3,sup→int,0.528,0.606,0.73,0.022,0.5,1.0,1281.9,27.9
TC3,int→inf,0.487,0.73,0.692,0.005,0.1,1.0,2255.6,11.1
TC3,sup→inf,0.528,0.606,0.692,0.051,0.5,1.0,1622.7,83.0
TC4,sup→int,0.597,0.836,0.782,0.026,0.5,1.0,1617.1,41.7
TC4,int→inf,0.575,0.782,0.75,0.018,0.5,1.0,1868.1,33.5
TC4,sup→inf,0.606,0.836,0.75,0.089,0.5,1.0,1733.5,154.7
TC5,sup→int,0.569,0.813,0.128,0.162,1.0,1.0,113.7,703.0
TC5,int→inf,0.582,0.128,0.023,0.984,1.0,1.0,345.6,351.3
TC5,sup→inf,0.527,0.813,0.023,0.078,1.0,1.0,200.7,2584.2
