TC,Par,HA_mm_d,MC_mm_d,Ar,dz_m
TC1,sup→int,314.1,275.7,0.2762,0.28
TC1,int→inf,381.9,193.1,0.3339,0.28
TC1,sup→inf,345.9,984.7,0.0922,0.56
TC2,sup→int,345.1,125.4,0.294,0.2
TC2,int→inf,315.9,138.0,0.2459,0.2
TC2,sup→inf,330.0,628.3,0.0723,0.4
TC3,sup→int,1281.9,27.9,0.7453,0.2
TC3,int→inf,2255.6,11.1,0.8843,0.2
TC3,sup→inf,1622.7,83.0,0.6591,0.4
TC4,sup→int,1617.1,41.7,0.8514,0.28
TC4,int→inf,1868.1,33.5,0.8767,0.28
TC4,sup→inf,1733.5,154.7,0.7465,0.56
TC5,sup→int,113.7,703.0,0.107,0.28
TC5,int→inf,345.6,351.3,0.3774,0.28
TC5,sup→inf,200.7,2584.2,0.0404,0.56
