TC,Par,Flujo HA (mm/d),u_rel (%),u_abs (mm/d),IC 95% bajo,IC 95% alto,u_armónico (%)
TC1,sup→int,314.1,12.9,40.6,234.5,393.6,10.0
TC1,int→inf,381.9,21.6,82.6,220.1,543.7,20.0
TC1,sup→inf,345.9,21.6,74.8,199.3,492.4,20.0
TC2,sup→int,345.1,21.6,74.6,198.9,491.2,20.0
TC2,int→inf,315.9,21.6,68.3,182.1,449.8,20.0
TC2,sup→inf,330.0,21.6,71.3,190.2,469.8,20.0
TC3,sup→int,1281.9,12.9,165.7,957.0,1606.7,10.0
TC3,int→inf,2255.6,12.9,291.7,1684.0,2827.3,10.0
TC3,sup→inf,1622.7,12.9,209.8,1211.5,2034.0,10.0
TC4,sup→int,1617.1,9.6,155.3,1312.8,1921.4,5.0
TC4,int→inf,1868.1,12.9,241.5,1394.6,2341.5,10.0
TC4,sup→inf,1733.5,12.9,224.1,1294.1,2172.8,10.0
TC5,sup→int,113.7,21.6,24.6,65.5,161.9,20.0
TC5,int→inf,345.6,21.6,74.7,199.2,492.1,20.0
TC5,sup→inf,200.7,21.6,43.4,115.7,285.8,20.0
