TC,Par,n,Media,Mediana,Q1,Q3,IQR,Min,Max
TC1,sup→int,78,359.5,384.5,218.8,467.1,248.3,176.2,634.3
TC1,int→inf,40,365.3,290.0,202.6,313.8,111.2,145.9,1581.5
TC1,sup→inf,76,415.1,276.7,243.3,627.7,384.4,183.4,945.5
TC1,TOTAL,194,382.5,293.2,221.3,459.9,238.5,145.9,1581.5
TC2,sup→int,31,353.0,336.7,324.8,368.8,44.0,266.9,461.5
TC2,int→inf,21,348.6,329.8,310.9,380.3,69.4,285.2,504.2
TC2,sup→inf,23,352.3,362.1,327.6,370.8,43.2,312.7,378.2
TC2,TOTAL,75,351.6,336.8,323.6,372.4,48.8,266.9,504.2
TC3,sup→int,50,1756.6,1988.9,1627.6,2066.2,438.7,421.3,2371.9
TC3,int→inf,48,3585.8,2557.6,2107.0,5737.4,3630.4,1303.6,8627.9
TC3,sup→inf,52,2136.4,2255.0,1990.3,2414.0,423.7,666.0,3323.0
TC3,TOTAL,150,2473.6,2190.0,1848.1,2522.4,674.3,421.3,8627.9
TC4,sup→int,103,1780.1,1846.4,1449.4,2087.4,638.0,603.1,2697.1
TC4,int→inf,95,2410.6,2531.5,1205.9,3314.2,2108.3,755.5,4117.0
TC4,sup→inf,99,1974.4,2183.8,1305.4,2472.9,1167.5,736.7,2914.6
TC4,TOTAL,297,2046.5,2032.7,1356.5,2497.6,1141.0,603.1,4117.0
TC5,sup→int,93,118.2,115.6,107.0,129.3,22.3,52.6,168.3
TC5,int→inf,57,344.8,319.4,242.2,411.0,168.8,170.2,927.8
TC5,sup→inf,59,200.7,190.9,164.7,226.7,62.0,103.6,329.8
TC5,TOTAL,209,203.3,163.8,116.8,240.6,123.8,52.6,927.8
