TC,Par,Mediana_ms,Promedio_ms,Q1_ms,Q3_ms,IQR_ms,Mediana_mm_d,Promedio_mm_d,n
TC1,Sup → Int  (z₁–z₂),2.4727439609749403e-06,3.256610770947007e-06,2.354217313548346e-06,3.395271110377228e-06,1.041053796828882e-06,213.64507822823484,281.37117060982143,27
TC1,Int → Inf  (z₂–z₃),3.4410802118962357e-06,4.842370146865675e-06,2.8176445148255846e-06,3.78893848868029e-06,9.712939738547053e-07,297.3093303078348,418.3807806891943,20
TC1,Sup → Inf  (z₁–z₃),2.8299235138669906e-06,3.8004717165060566e-06,2.462944198782334e-06,3.1694464723204183e-06,7.065022735380845e-07,244.50539159810796,328.3607563061233,27
TC2,Sup → Int  (z₁–z₂),3.741341390516623e-06,-2.5877957874993756e-07,-8.869330808266852e-06,3.865274862861756e-06,1.2734605671128607e-05,323.25189614063623,-22.358555603994606,30
TC2,Int → Inf  (z₂–z₃),-8.161539451806745e-06,-2.7657482792080096e-06,-8.986483876925473e-06,3.7075071719588916e-06,1.2693991048884365e-05,-705.1570086361028,-238.96065132357205,27
TC2,Sup → Inf  (z₁–z₃),3.377457530612399e-06,9.072177608153337e-07,-2.9370761024427133e-06,3.873325065523382e-06,6.810401167966096e-06,291.8123306449113,78.38361453444483,30
TC3,Sup → Int  (z₁–z₂),2.2898063362622898e-05,1.872463172331489e-05,1.5775566457812986e-05,2.3557934078522834e-05,7.782367620709848e-06,1978.3926745306183,1617.8081808944064,32
TC3,Int → Inf  (z₂–z₃),2.7114319892167834e-05,2.723095830040945e-05,2.0905861090305573e-05,3.097783743865581e-05,1.007197634835024e-05,2342.677238683301,2352.7547971553763,30
TC3,Sup → Inf  (z₁–z₃),2.4651834351812417e-05,2.0897534839132475e-05,1.3905462411356569e-05,2.628480796946862e-05,1.2379345558112052e-05,2129.918487996593,1805.5470101010458,32
TC4,Sup → Int  (z₁–z₂),1.5991068169945596e-05,1.484848056821355e-05,1.4402949005670912e-05,1.644313302764153e-05,2.0401840219706175e-06,1381.6282898832994,1282.9087210936507,29
TC4,Int → Inf  (z₂–z₃),1.3737777273782768e-05,1.71821155633532e-05,1.3127224312888808e-05,1.4217737423789036e-05,1.0905131109002278e-06,1186.943956454831,1484.5347846737166,27
TC4,Sup → Inf  (z₁–z₃),1.468483738949896e-05,1.4325487416863197e-05,1.3889785468314809e-05,1.5232469772951057e-05,1.3426843046362476e-06,1268.7699504527102,1237.7221128169804,30
TC5,Sup → Int  (z₁–z₂),1.232424360877982e-06,3.1269637832698515e-06,1.2046540165305443e-06,1.2797877947071842e-06,7.513377817663989e-08,106.48146477985765,270.16967087451513,29
TC5,Int → Inf  (z₂–z₃),2.7848202726806594e-06,2.771005719179947e-06,2.4930296440060593e-06,2.973062349259896e-06,4.800327052538367e-07,240.60847155960894,239.41489413714743,21
TC5,Sup → Inf  (z₁–z₃),1.8950129269144275e-06,1.8627743201707455e-06,1.7631348563700398e-06,2.012238056928002e-06,2.4910320055796224e-07,163.72911688540654,160.94370126275243,22
