fecha,temperatura_C,TC,posicion,profundidad_m
2025-12-21 16:27:01,18.883,TC1,surface,0.0
2025-12-21 16:57:01,18.57,TC1,surface,0.0
2025-12-21 17:27:01,18.382,TC1,surface,0.0
2025-12-21 17:57:01,18.132,TC1,surface,0.0
2025-12-21 18:27:01,17.882,TC1,surface,0.0
2025-12-21 18:57:01,17.569,TC1,surface,0.0
2025-12-21 19:27:01,17.256,TC1,surface,0.0
2025-12-21 19:57:01,16.88,TC1,surface,0.0
2025-12-21 20:27:01,16.567,TC1,surface,0.0
2025-12-21 20:57:01,16.254,TC1,surface,0.0
2025-12-21 21:27:01,16.003,TC1,surface,0.0
2025-12-21 21:57:01,15.753,TC1,surface,0.0
2025-12-21 22:27:01,15.565,TC1,surface,0.0
2025-12-21 22:57:01,15.439,TC1,surface,0.0
2025-12-21 23:27:01,15.252,TC1,surface,0.0
2025-12-21 23:57:01,15.126,TC1,surface,0.0
2025-12-22 00:27:01,14.938,TC1,surface,0.0
2025-12-22 00:57:01,14.75,TC1,surface,0.0
2025-12-22 01:27:01,14.625,TC1,surface,0.0
2025-12-22 01:57:01,14.5,TC1,surface,0.0
2025-12-22 02:27:01,14.374,TC1,surface,0.0
2025-12-22 02:57:01,14.249,TC1,surface,0.0
2025-12-22 03:27:01,14.124,TC1,surface,0.0
2025-12-22 03:57:01,13.999,TC1,surface,0.0
2025-12-22 04:27:01,13.873,TC1,surface,0.0
2025-12-22 04:57:01,13.811,TC1,surface,0.0
2025-12-22 05:27:01,13.748,TC1,surface,0.0
2025-12-22 05:57:01,13.56,TC1,surface,0.0
2025-12-22 06:27:01,13.435,TC1,surface,0.0
2025-12-22 06:57:01,13.372,TC1,surface,0.0
2025-12-22 07:27:01,13.247,TC1,surface,0.0
2025-12-22 07:57:01,13.184,TC1,surface,0.0
2025-12-22 08:27:01,13.184,TC1,surface,0.0
2025-12-22 08:57:01,13.372,TC1,surface,0.0
2025-12-22 09:27:01,13.623,TC1,surface,0.0
2025-12-22 09:57:01,13.999,TC1,surface,0.0
2025-12-22 10:27:01,14.562,TC1,surface,0.0
2025-12-22 10:57:01,15.126,TC1,surface,0.0
2025-12-22 11:27:01,15.878,TC1,surface,0.0
2025-12-22 11:57:01,16.692,TC1,surface,0.0
2025-12-22 12:27:01,17.443,TC1,surface,0.0
2025-12-22 12:57:01,18.132,TC1,surface,0.0
2025-12-22 13:27:01,18.821,TC1,surface,0.0
2025-12-22 13:57:01,19.509,TC1,surface,0.0
2025-12-22 14:27:01,20.072,TC1,surface,0.0
2025-12-22 14:57:01,20.448,TC1,surface,0.0
2025-12-22 15:27:01,20.635,TC1,surface,0.0
2025-12-22 15:57:01,20.573,TC1,surface,0.0
2025-12-22 16:27:01,20.448,TC1,surface,0.0
2025-12-22 16:57:01,20.323,TC1,surface,0.0
2025-12-22 17:27:01,20.01,TC1,surface,0.0
2025-12-22 17:57:01,19.447,TC1,surface,0.0
2025-12-22 18:27:01,18.758,TC1,surface,0.0
2025-12-22 18:57:01,18.007,TC1,surface,0.0
2025-12-22 19:27:01,17.381,TC1,surface,0.0
2025-12-22 19:57:01,16.88,TC1,surface,0.0
2025-12-22 20:27:01,16.379,TC1,surface,0.0
2025-12-22 20:57:01,16.066,TC1,surface,0.0
2025-12-22 21:27:01,15.815,TC1,surface,0.0
2025-12-22 21:57:01,15.565,TC1,surface,0.0
2025-12-22 22:27:01,15.377,TC1,surface,0.0
2025-12-22 22:57:01,15.189,TC1,surface,0.0
2025-12-22 23:27:01,15.001,TC1,surface,0.0
2025-12-22 23:57:01,14.813,TC1,surface,0.0
2025-12-23 00:27:01,14.688,TC1,surface,0.0
2025-12-23 00:57:01,14.625,TC1,surface,0.0
2025-12-23 01:27:01,14.5,TC1,surface,0.0
2025-12-23 01:57:01,14.437,TC1,surface,0.0
2025-12-23 02:27:01,14.312,TC1,surface,0.0
2025-12-23 02:57:01,14.124,TC1,surface,0.0
2025-12-23 03:27:01,13.936,TC1,surface,0.0
2025-12-23 03:57:01,13.811,TC1,surface,0.0
2025-12-23 04:27:01,13.748,TC1,surface,0.0
2025-12-23 04:57:01,13.685,TC1,surface,0.0
2025-12-23 05:27:01,13.56,TC1,surface,0.0
2025-12-23 05:57:01,13.497,TC1,surface,0.0
2025-12-23 06:27:01,13.372,TC1,surface,0.0
2025-12-23 06:57:01,13.247,TC1,surface,0.0
2025-12-23 07:27:01,13.247,TC1,surface,0.0
2025-12-23 07:57:01,13.121,TC1,surface,0.0
2025-12-23 08:27:01,13.121,TC1,surface,0.0
2025-12-23 08:57:01,13.247,TC1,surface,0.0
2025-12-23 09:27:01,13.623,TC1,surface,0.0
2025-12-23 09:57:01,14.124,TC1,surface,0.0
2025-12-23 10:27:01,14.75,TC1,surface,0.0
2025-12-23 10:57:01,15.377,TC1,surface,0.0
2025-12-23 11:27:01,16.191,TC1,surface,0.0
2025-12-23 11:57:01,17.005,TC1,surface,0.0
2025-12-23 12:27:01,17.756,TC1,surface,0.0
2025-12-23 12:57:01,18.57,TC1,surface,0.0
2025-12-23 13:27:01,19.384,TC1,surface,0.0
2025-12-23 13:57:01,20.135,TC1,surface,0.0
2025-12-23 14:27:01,20.761,TC1,surface,0.0
2025-12-23 14:57:01,21.136,TC1,surface,0.0
2025-12-23 15:27:01,21.386,TC1,surface,0.0
2025-12-23 15:57:01,21.386,TC1,surface,0.0
2025-12-23 16:27:01,21.199,TC1,surface,0.0
2025-12-23 16:57:01,20.823,TC1,surface,0.0
2025-12-23 17:27:01,20.323,TC1,surface,0.0
2025-12-23 17:57:01,19.697,TC1,surface,0.0
2025-12-23 18:27:01,18.946,TC1,surface,0.0
2025-12-23 18:57:01,18.257,TC1,surface,0.0
2025-12-23 19:27:01,17.756,TC1,surface,0.0
2025-12-23 19:57:01,17.381,TC1,surface,0.0
2025-12-23 20:27:01,17.068,TC1,surface,0.0
2025-12-23 20:57:01,16.755,TC1,surface,0.0
2025-12-23 21:27:01,16.504,TC1,surface,0.0
2025-12-23 21:57:01,16.316,TC1,surface,0.0
2025-12-23 22:27:01,16.191,TC1,surface,0.0
2025-12-23 22:57:01,16.003,TC1,surface,0.0
2025-12-23 23:27:01,15.815,TC1,surface,0.0
2025-12-23 23:57:01,15.69,TC1,surface,0.0
2025-12-24 00:27:01,15.565,TC1,surface,0.0
2025-12-24 00:57:01,15.377,TC1,surface,0.0
2025-12-24 01:27:01,15.189,TC1,surface,0.0
2025-12-24 01:57:01,15.001,TC1,surface,0.0
2025-12-24 02:27:01,14.813,TC1,surface,0.0
2025-12-24 02:57:01,14.688,TC1,surface,0.0
2025-12-24 03:27:01,14.562,TC1,surface,0.0
2025-12-24 03:57:01,14.437,TC1,surface,0.0
2025-12-24 04:27:01,14.249,TC1,surface,0.0
2025-12-24 04:57:01,14.061,TC1,surface,0.0
2025-12-24 05:27:01,13.936,TC1,surface,0.0
2025-12-24 05:57:01,13.811,TC1,surface,0.0
2025-12-24 06:27:01,13.685,TC1,surface,0.0
2025-12-24 06:57:01,13.56,TC1,surface,0.0
2025-12-24 07:27:01,13.497,TC1,surface,0.0
2025-12-24 07:57:01,13.497,TC1,surface,0.0
