Par_Sensores,Fecha_Hora_Centro,Inicio_Ventana,Fin_Ventana,Flujo_McCallum_mm_dia,Flujo_Hatch_Amplitud_mm_dia,Flujo_Keery_mm_dia,Flujo_Luce_mm_dia,Amplitud_Sup_C,Amplitud_Prof_C,R2_Sup,R2_Prof,Desfase_rad,Flag_Calidad
TC1_sup_inf,2026-01-02 00:00:00,2026-01-01 00:00:00,2026-01-02 23:00:00,-1514.2875,-296.6590,61.8657,-5783.9367,0.0000,0.0000,0.0000,-0.0000,2.1193,1
TC1_sup_inf,2026-01-02 12:00:00,2026-01-01 12:00:00,2026-01-03 11:00:00,2397.5814,542.3564,392.4397,1562.3660,0.0000,0.0000,0.0000,-0.0000,1.2226,1
TC1_sup_inf,2026-01-03 00:00:00,2026-01-02 00:00:00,2026-01-03 23:00:00,2619.5219,3511.1546,1882.6167,,1.3206,0.0000,0.1438,-0.0000,1.2808,1
TC1_sup_inf,2026-01-03 12:00:00,2026-01-02 12:00:00,2026-01-04 11:00:00,677.0465,270.1135,641.2563,1242.7628,1.3136,0.3366,0.1402,0.0531,5.1037,1
TC1_sup_inf,2026-01-04 00:00:00,2026-01-03 00:00:00,2026-01-04 23:00:00,660.4114,247.5792,600.2671,1191.2573,1.4481,0.4157,0.1509,0.0753,4.8040,1
TC1_sup_inf,2026-01-04 12:00:00,2026-01-03 12:00:00,2026-01-05 11:00:00,2527.6000,3481.6194,2232.2036,,1.3554,0.0000,0.1248,0.0000,4.9544,1
TC1_sup_inf,2026-01-05 00:00:00,2026-01-04 00:00:00,2026-01-05 23:00:00,821.0013,318.4080,642.9723,1335.2774,1.4299,0.2872,0.1487,0.0340,4.8775,1
TC1_sup_inf,2026-01-05 12:00:00,2026-01-04 12:00:00,2026-01-06 11:00:00,629.0722,226.1754,571.4844,1136.6093,1.4015,0.4481,0.1528,0.1086,4.6217,1
TC1_sup_inf,2026-01-06 00:00:00,2026-01-05 00:00:00,2026-01-06 23:00:00,2560.6960,3571.1525,2192.5656,,1.3330,0.0000,0.1501,0.0000,4.1034,1
TC1_sup_inf,2026-01-06 12:00:00,2026-01-05 12:00:00,2026-01-07 11:00:00,645.0352,231.3634,572.2729,1150.4015,1.2788,0.3984,0.1229,0.0884,4.6035,1
TC1_sup_inf,2026-01-07 00:00:00,2026-01-06 00:00:00,2026-01-07 23:00:00,850.1918,305.0508,598.3293,1311.9001,1.2696,0.2728,0.1223,0.0378,4.4947,1
