Par_Sensores,Fecha_Hora_Centro,Inicio_Ventana,Fin_Ventana,Flujo_McCallum_mm_dia,Flujo_Hatch_Amplitud_mm_dia,Flujo_Keery_mm_dia,Flujo_Luce_mm_dia,Amplitud_Sup_C,Amplitud_Prof_C,R2_Sup,R2_Prof,Desfase_rad,Flag_Calidad
TC4_int_inf,2026-01-02 00:00:00,2026-01-01 00:00:00,2026-01-02 23:00:00,31.4867,57.7611,1233.0281,226.3878,1.2929,1.1177,0.1124,0.1005,6.0703,1
TC4_int_inf,2026-01-02 12:00:00,2026-01-01 12:00:00,2026-01-03 11:00:00,17.6949,32.4200,1219.0926,131.1108,1.5646,1.4418,0.1178,0.1145,6.0639,1
TC4_int_inf,2026-01-03 00:00:00,2026-01-02 00:00:00,2026-01-03 23:00:00,19.1146,34.9962,1219.4988,141.0768,1.5165,1.3885,0.1097,0.1052,6.0595,1
TC4_int_inf,2026-01-03 12:00:00,2026-01-02 12:00:00,2026-01-04 11:00:00,-1313.1822,-6872.8419,-3428.4966,-55777454548.5714,0.0000,1.3449,0.0000,0.0963,0.0399,1
TC4_int_inf,2026-01-04 00:00:00,2026-01-03 00:00:00,2026-01-04 23:00:00,1254.9689,7100.6617,4644.2137,,1.5429,0.0000,0.1061,0.0000,5.5144,1
TC4_int_inf,2026-01-04 12:00:00,2026-01-03 12:00:00,2026-01-05 11:00:00,15.7623,28.9889,1221.9651,117.7364,1.6015,1.4886,0.1050,0.1015,6.0870,1
TC4_int_inf,2026-01-05 00:00:00,2026-01-04 00:00:00,2026-01-05 23:00:00,19.7494,36.2883,1224.4529,146.0511,1.6282,1.4859,0.1138,0.1051,6.0812,1
TC4_int_inf,2026-01-05 12:00:00,2026-01-04 12:00:00,2026-01-06 11:00:00,14.3561,26.3915,1220.1695,107.5345,1.6702,1.5627,0.1308,0.1270,6.0845,1
TC4_int_inf,2026-01-06 00:00:00,2026-01-05 00:00:00,2026-01-06 23:00:00,12.2262,22.6452,1227.4039,92.7020,1.4527,1.3721,0.1119,0.1078,6.1305,1
TC4_int_inf,2026-01-06 12:00:00,2026-01-05 12:00:00,2026-01-07 11:00:00,1265.0504,7938.7661,5074.7550,,1.2793,0.0000,0.0873,0.0000,5.5723,1
TC4_int_inf,2026-01-07 00:00:00,2026-01-06 00:00:00,2026-01-07 23:00:00,13.5251,25.0601,1229.0392,102.2791,1.1081,1.0402,0.0668,0.0639,6.1326,1
TC4_int_inf,2026-01-07 12:00:00,2026-01-06 12:00:00,2026-01-08 11:00:00,11.5061,21.3077,1226.5256,87.3725,1.1317,1.0725,0.0744,0.0728,6.1294,1
