sensor,tc,profundidad_m,amplitud_C,fase_rad,fase_deg,offset_C,R2
temp_8,TC1,0.56,0.46242716320134114,5.215824058913808,298.8447052585556,17.548576042479617,0.08053790742113454
temp_9,TC1,0.28,1.520144799142351,5.63370623543259,322.7875903068227,17.38561261203809,0.43561765812197195
temp_12,TC1,0.0,6.847607272705511,0.8062188321577942,46.1929364466077,18.944727737418805,0.8471889425878933
temp_4,TC2,0.0,2.491075479833617,0.3039224369308102,17.41347293546637,17.010866476624923,0.6192189936688139
temp_6,TC2,0.2,0.7324195415179819,4.951306793393729,283.68898233591375,17.154449191766993,0.21801376558078867
temp_7,TC2,0.4,0.18011533877725389,3.4748992958961056,199.09706388782828,17.296740153757014,0.02160775455068109
temp_1,TC3,0.0,5.021653073428749,0.45283195907080187,25.945360083397784,18.401160130857257,0.6061870081896534
temp_10,TC3,0.2,3.7428654070365743,6.138237587672672,351.69510742220774,18.06913642028303,0.7295343893797039
temp_11,TC3,0.4,3.3097036039931123,5.855948536262605,335.5211361736594,18.089613066815556,0.6924240231429397
temp_3,TC4,0.28,3.905175405484106,0.10635613840174066,6.093757855729001,18.02935371125831,0.7552312417785975
temp_14,TC4,0.56,3.169251551618232,6.217423930178864,356.2321506428899,18.063529130204277,0.7112494667259419
temp_15,TC4,0.0,4.758082323107336,0.4281282301137983,24.52994067592636,18.222897767784566,0.8205972615570774
temp_2,TC5,0.56,0.08526516657681578,1.2440336311730256,71.27787663854885,18.342188627527513,0.01870475053936771
temp_5,TC5,0.0,3.455351909073506,0.33495241227612366,19.19135956114783,18.176439150032547,0.830205030543504
temp_13,TC5,0.28,0.33121360240675174,4.129678187009225,236.61313086286611,18.40471279595925,0.17875204463142613
