TC,Posición,Prof (cm),N,T_media (°C),T_min (°C),T_max (°C),Rango (°C),Desv.std (°C)
TC1,Superficie,0.0,3160,18.27,10.3,31.57,21.27,4.269
TC1,Intermedio,28.000000000000004,3160,17.49,14.41,26.74,12.33,1.449
TC1,Inferior,56.00000000000001,3160,17.57,14.73,28.9,14.17,1.048
TC2,Superficie,0.0,1582,17.01,12.9,25.73,12.82,2.241
TC2,Intermedio,20.0,1582,17.16,15.07,19.96,4.89,1.109
TC2,Inferior,40.0,1582,17.3,15.8,18.99,3.19,0.867
TC3,Superficie,0.0,1582,18.4,11.67,43.28,31.61,4.565
TC3,Intermedio,20.0,1582,18.07,12.96,27.22,14.27,3.101
TC3,Inferior,40.0,1582,18.09,13.38,25.45,12.07,2.814
TC4,Superficie,0.0,3160,18.49,12.55,31.76,19.2,3.693
TC4,Intermedio,28.000000000000004,3160,18.25,12.8,26.69,13.89,3.253
TC4,Inferior,56.00000000000001,3160,18.3,13.1,25.74,12.64,2.914
TC5,Superficie,0.0,3160,18.22,12.79,24.06,11.27,2.422
TC5,Intermedio,28.000000000000004,3160,18.33,16.38,27.88,11.51,0.653
TC5,Inferior,56.00000000000001,3160,18.2,16.45,26.52,10.07,0.586
