Par,Método,q (mm/día),q (m/s),Dirección
TC1: sup-int,McCallum (2012),390.86,4.52e-06,Infiltración ↓
TC1: sup-int,Hatch-Amplitud,597.12,6.91e-06,Infiltración ↓
TC1: sup-int,Hatch-Fase,-6004.67,-6.95e-05,Exfiltración ↑
TC1: sup-int,Keery (2007),1256.18,1.45e-05,Infiltración ↓
TC1: sup-int,Luce (2013),1299.96,1.50e-05,Infiltración ↓
TC1: int-inf,McCallum (2012),261.12,3.02e-06,Infiltración ↓
TC1: int-inf,Hatch-Amplitud,472.14,5.46e-06,Infiltración ↓
TC1: int-inf,Hatch-Fase,-7475.16,-8.65e-05,Exfiltración ↑
TC1: int-inf,Keery (2007),1399.56,1.62e-05,Infiltración ↓
TC1: int-inf,Luce (2013),1162.61,1.35e-05,Infiltración ↓
TC1: sup-inf,McCallum (2012),1369.67,1.59e-05,Infiltración ↓
TC1: sup-inf,Hatch-Amplitud,534.63,6.19e-06,Infiltración ↓
TC1: sup-inf,Hatch-Fase,-726.56,-8.41e-06,Exfiltración ↑
TC1: sup-inf,Keery (2007),704.68,8.16e-06,Infiltración ↓
TC1: sup-inf,Luce (2013),1558.06,1.80e-05,Infiltración ↓
TC2: sup-int,McCallum (2012),238.92,2.77e-06,Infiltración ↓
TC2: sup-int,Hatch-Amplitud,679.91,7.87e-06,Infiltración ↓
TC2: sup-int,Hatch-Fase,-12071.0,-1.40e-04,Exfiltración ↑
TC2: sup-int,Keery (2007),1630.6,1.89e-05,Infiltración ↓
TC2: sup-int,Luce (2013),1179.62,1.37e-05,Infiltración ↓
TC2: int-inf,McCallum (2012),262.77,3.04e-06,Infiltración ↓
TC2: int-inf,Hatch-Amplitud,779.13,9.02e-06,Infiltración ↓
TC2: int-inf,Hatch-Fase,-12513.66,-1.45e-04,Exfiltración ↑
TC2: int-inf,Keery (2007),1724.48,2.00e-05,Infiltración ↓
TC2: int-inf,Luce (2013),1259.99,1.46e-05,Infiltración ↓
TC2: sup-inf,McCallum (2012),1196.77,1.39e-05,Infiltración ↓
TC2: sup-inf,Hatch-Amplitud,729.52,8.44e-06,Infiltración ↓
TC2: sup-inf,Hatch-Fase,-1366.12,-1.58e-05,Exfiltración ↑
TC2: sup-inf,Keery (2007),805.07,9.32e-06,Infiltración ↓
TC2: sup-inf,Luce (2013),1550.08,1.79e-05,Infiltración ↓
TC3: sup-int,McCallum (2012),48.42,5.60e-07,Infiltración ↓
TC3: sup-int,Hatch-Amplitud,163.24,1.89e-06,Infiltración ↓
TC3: sup-int,Hatch-Fase,-14953.74,-1.73e-04,Exfiltración ↑
TC3: sup-int,Keery (2007),1660.54,1.92e-05,Infiltración ↓
TC3: sup-int,Luce (2013),425.5,4.92e-06,Infiltración ↓
TC3: int-inf,McCallum (2012),19.22,2.22e-07,Infiltración ↓
TC3: int-inf,Hatch-Amplitud,68.31,7.91e-07,Infiltración ↓
TC3: int-inf,Hatch-Fase,-15829.9,-1.83e-04,Exfiltración ↑
TC3: int-inf,Keery (2007),1700.69,1.97e-05,Infiltración ↓
TC3: int-inf,Luce (2013),193.37,2.24e-06,Infiltración ↓
TC3: sup-inf,McCallum (2012),144.32,1.67e-06,Infiltración ↓
TC3: sup-inf,Hatch-Amplitud,115.78,1.34e-06,Infiltración ↓
TC3: sup-inf,Hatch-Fase,-2915.86,-3.37e-05,Exfiltración ↑
TC3: sup-inf,Keery (2007),808.15,9.35e-06,Infiltración ↓
TC3: sup-inf,Luce (2013),569.63,6.59e-06,Infiltración ↓
TC4: sup-int,McCallum (2012),43.49,5.03e-07,Infiltración ↓
TC4: sup-int,Hatch-Amplitud,78.37,9.07e-07,Infiltración ↓
TC4: sup-int,Hatch-Fase,-7611.34,-8.81e-05,Exfiltración ↑
TC4: sup-int,Keery (2007),1221.74,1.41e-05,Infiltración ↓
TC4: sup-int,Luce (2013),299.52,3.47e-06,Infiltración ↓
TC4: int-inf,McCallum (2012),44.84,5.19e-07,Infiltración ↓
TC4: int-inf,Hatch-Amplitud,82.84,9.59e-07,Infiltración ↓
TC4: int-inf,Hatch-Fase,-7823.38,-9.05e-05,Exfiltración ↑
TC4: int-inf,Keery (2007),1253.66,1.45e-05,Infiltración ↓
TC4: int-inf,Luce (2013),314.88,3.64e-06,Infiltración ↓
TC4: sup-inf,McCallum (2012),183.89,2.13e-06,Infiltración ↓
TC4: sup-inf,Hatch-Amplitud,80.61,9.33e-07,Infiltración ↓
TC4: sup-inf,Hatch-Fase,-1215.28,-1.41e-05,Exfiltración ↑
TC4: sup-inf,Keery (2007),614.51,7.11e-06,Infiltración ↓
TC4: sup-inf,Luce (2013),557.95,6.46e-06,Infiltración ↓
TC5: sup-int,McCallum (2012),690.31,7.99e-06,Infiltración ↓
TC5: sup-int,Hatch-Amplitud,930.31,1.08e-05,Infiltración ↓
TC5: sup-int,Hatch-Fase,-4541.34,-5.26e-05,Exfiltración ↑
TC5: sup-int,Keery (2007),1217.9,1.41e-05,Infiltración ↓
TC5: sup-int,Luce (2013),1510.73,1.75e-05,Infiltración ↓
TC5: int-inf,McCallum (2012),487.08,5.64e-06,Infiltración ↓
TC5: int-inf,Hatch-Amplitud,538.37,6.23e-06,Infiltración ↓
TC5: int-inf,Hatch-Fase,-3978.56,-4.60e-05,Exfiltración ↑
TC5: int-inf,Keery (2007),943.15,1.09e-05,Infiltración ↓
TC5: int-inf,Luce (2013),1240.75,1.44e-05,Infiltración ↓
TC5: sup-inf,McCallum (2012),2550.59,2.95e-05,Infiltración ↓
TC5: sup-inf,Hatch-Amplitud,734.34,8.50e-06,Infiltración ↓
TC5: sup-inf,Hatch-Fase,513.43,5.94e-06,Infiltración ↓
TC5: sup-inf,Keery (2007),457.34,5.29e-06,Infiltración ↓
TC5: sup-inf,Luce (2013),1629.66,1.89e-05,Infiltración ↓
