termocupla,posicion,label,sensor_id,profundidad_m
TC1,surface,temp_12,A400000082BAF041,0.0
TC1,intermediate,temp_9,7D000000828FA841,0.28
TC1,deep,temp_8,5900000082B86A41,0.56
TC2,surface,temp_4,2E000000828FF441,0.0
TC2,intermediate,temp_6,4600000082991C41,0.2
TC2,deep,temp_7,4B0000008298EA41,0.4
TC3,surface,temp_1,0600000082994E41,0.0
TC3,intermediate,temp_10,870000008290BE41,0.2
TC3,deep,temp_11,98000000828FD441,0.4
TC4,surface,temp_15,F60000008290D841,0.0
TC4,intermediate,temp_3,2D00000082925E41,0.28
TC4,deep,temp_14,B3000000828F2741,0.56
TC5,surface,temp_5,3800000082952A41,0.0
TC5,intermediate,temp_13,B000000082987741,0.28
TC5,deep,temp_2,2800000082978041,0.56
