Par_Sensores,Fecha_Hora_Centro,Inicio_Ventana,Fin_Ventana,Flujo_McCallum_mm_dia,Flujo_Hatch_Amplitud_mm_dia,Flujo_Keery_mm_dia,Flujo_Luce_mm_dia,Amplitud_Sup_C,Amplitud_Prof_C,R2_Sup,R2_Prof,Desfase_rad,Flag_Calidad
TC4_sup_inf,2026-01-02 00:00:00,2026-01-01 00:00:00,2026-01-02 23:00:00,67.7629,30.3134,602.4090,236.7845,1.3022,1.1177,0.0948,0.1005,5.9209,1
TC4_sup_inf,2026-01-02 12:00:00,2026-01-01 12:00:00,2026-01-03 11:00:00,15.9483,7.1957,596.0815,59.5250,1.4951,1.4418,0.0913,0.1145,5.9736,1
TC4_sup_inf,2026-01-03 00:00:00,2026-01-02 00:00:00,2026-01-03 23:00:00,8.1052,3.6474,592.7721,30.4424,1.4142,1.3885,0.0810,0.1052,5.9581,1
TC4_sup_inf,2026-01-03 12:00:00,2026-01-02 12:00:00,2026-01-04 11:00:00,7.8927,3.5595,594.0018,29.7150,1.3693,1.3449,0.0752,0.0963,5.9710,1
TC4_sup_inf,2026-01-04 00:00:00,2026-01-03 00:00:00,2026-01-04 23:00:00,2517.0847,3534.2823,2293.5033,,1.4230,0.0000,0.0747,0.0000,5.3069,1
TC4_sup_inf,2026-01-04 12:00:00,2026-01-03 12:00:00,2026-01-05 11:00:00,-5.7044,-2.5651,589.2231,-21.7470,1.4695,1.4886,0.0714,0.1015,5.9537,1
TC4_sup_inf,2026-01-05 00:00:00,2026-01-04 00:00:00,2026-01-05 23:00:00,19.8171,8.8651,591.8656,73.0289,1.5538,1.4859,0.0847,0.1051,5.9227,1
TC4_sup_inf,2026-01-05 12:00:00,2026-01-04 12:00:00,2026-01-06 11:00:00,-2475.8365,-3484.7834,-1125.6241,-71177178606.3003,0.0000,1.5627,0.0000,0.1270,6.2184,1
TC4_sup_inf,2026-01-06 00:00:00,2026-01-05 00:00:00,2026-01-06 23:00:00,35.7329,16.5622,616.8878,133.8423,1.4916,1.3721,0.0969,0.1078,6.1362,1
TC4_sup_inf,2026-01-06 12:00:00,2026-01-05 12:00:00,2026-01-07 11:00:00,328.9774,153.5066,684.6825,900.2213,0.0000,0.0000,0.0000,0.0000,6.1293,1
TC4_sup_inf,2026-01-07 00:00:00,2026-01-06 00:00:00,2026-01-07 23:00:00,50.5052,23.6468,626.5508,187.7687,1.1719,1.0402,0.0610,0.0639,6.1979,1
TC4_sup_inf,2026-01-07 12:00:00,2026-01-06 12:00:00,2026-01-08 11:00:00,-2625.5011,-3654.1773,-1780.0380,-167186948352.1134,0.0000,1.0725,0.0000,0.0728,0.4744,1
TC4_sup_inf,2026-01-08 00:00:00,2026-01-07 00:00:00,2026-01-08 23:00:00,23.3267,10.6626,605.5642,87.4425,1.2291,1.1648,0.0599,0.0755,6.0517,1
TC4_sup_inf,2026-01-08 12:00:00,2026-01-07 12:00:00,2026-01-09 11:00:00,-7.7503,-3.5413,598.2502,-30.0967,1.3521,1.3764,0.0602,0.0816,6.0496,1
