TC,Par,IC_total,R2_sup,R2_inf,Concord_HA_MC,IC_lit,IC_physics,HA_mm_d,MC_mm_d
TC1,sup→int,0.795,0.728,0.483,0.864,1.0,1.0,319.1,275.7
TC1,int→inf,0.577,0.483,0.103,0.543,1.0,1.0,355.8,193.1
TC1,sup→inf,0.588,0.728,0.103,0.342,1.0,1.0,336.9,984.7
TC2,sup→int,0.594,0.619,0.218,0.382,1.0,1.0,328.5,125.4
TC2,int→inf,0.472,0.218,0.022,0.454,1.0,1.0,303.7,138.0
TC2,sup→inf,0.585,0.619,0.022,0.502,1.0,1.0,315.7,628.3
TC3,sup→int,0.61,0.606,0.73,0.049,1.0,1.0,570.9,27.9
TC3,int→inf,0.581,0.73,0.692,0.014,0.707,1.0,775.6,11.1
TC3,sup→inf,0.611,0.606,0.692,0.129,0.924,1.0,645.7,83.0
TC4,sup→int,0.668,0.836,0.782,0.064,0.91,1.0,654.0,41.7
TC4,int→inf,0.632,0.782,0.75,0.048,0.829,1.0,702.6,33.5
TC4,sup→inf,0.697,0.836,0.75,0.229,0.872,1.0,676.8,154.7
TC5,sup→int,0.577,0.813,0.128,0.192,1.0,1.0,135.1,703.0
TC5,int→inf,0.56,0.128,0.023,0.894,1.0,1.0,314.1,351.3
TC5,sup→inf,0.528,0.813,0.023,0.082,1.0,1.0,211.8,2584.2
