TC,Par,Flujo HA (mm/d),u_rel (%),u_abs (mm/d),IC 95% bajo,IC 95% alto,u_armónico (%)
TC1,sup→int,319.1,12.9,41.3,238.2,400.0,10.0
TC1,int→inf,355.8,21.6,76.9,205.1,506.6,20.0
TC1,sup→inf,336.9,21.6,72.8,194.2,479.6,20.0
TC2,sup→int,328.5,21.6,71.0,189.3,467.6,20.0
TC2,int→inf,303.7,21.6,65.6,175.0,432.3,20.0
TC2,sup→inf,315.7,21.6,68.2,182.0,449.4,20.0
TC3,sup→int,570.9,12.9,73.8,426.2,715.6,10.0
TC3,int→inf,775.6,12.9,100.3,579.0,972.1,10.0
TC3,sup→inf,645.7,12.9,83.5,482.1,809.3,10.0
TC4,sup→int,654.0,9.6,62.8,531.0,777.1,5.0
TC4,int→inf,702.6,12.9,90.8,524.5,880.6,10.0
TC4,sup→inf,676.8,12.9,87.5,505.3,848.3,10.0
TC5,sup→int,135.1,21.6,29.2,77.9,192.3,20.0
TC5,int→inf,314.1,21.6,67.9,181.0,447.2,20.0
TC5,sup→inf,211.8,21.6,45.8,122.1,301.5,20.0
